icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source,pulled_at
4bb2a2,TKJ192  ,Turkey,1783319100,1783319100,29.2823,40.3,3497.58,False,142.87,333.71,-6.5,3642.36,6021,False,0,1783319101
4bb2a2,TKJ192  ,Turkey,1783319396,1783319398,29.0643,40.6044,2026.92,False,125.66,346.99,-6.83,2133.6,6021,False,0,1783319400
4bb2a2,TKJ192  ,Turkey,1783319702,1783319703,29.1294,40.8208,899.16,False,80.29,63.76,0.0,975.36,6021,False,0,1783319704
4bb2a2,TKJ192  ,Turkey,1783319895,1783319895,29.277,40.8754,205.74,False,70.87,64.18,-3.58,281.94,6021,False,0,1783320002
4bb2a9,TKJ15J  ,Turkey,1783318494,1783318495,29.4019,40.9304,1028.7,False,114.03,83.0,11.7,1104.9,,False,0,1783318496
4bb2a9,TKJ15J  ,Turkey,1783318798,1783318798,29.1366,40.7413,4701.54,False,189.08,287.25,10.08,4846.32,,False,0,1783318799
4bb2a9,TKJ15J  ,Turkey,1783319100,1783319101,28.4208,40.7882,7482.84,False,212.71,267.23,5.85,7780.02,2334,False,0,1783319101
4bb2a9,TKJ15J  ,Turkey,1783319399,1783319399,27.6488,40.7974,9433.56,False,218.05,273.65,6.18,9791.7,2334,False,0,1783319400
4bb2ae,TKJ3NX  ,Turkey,1783319703,1783319703,32.1156,40.7347,10500.36,False,207.0,283.66,-5.2,10927.08,,False,0,1783319704
4bb2ae,TKJ3NX  ,Turkey,1783319998,1783320000,31.4299,40.9026,9029.7,False,202.06,287.79,-4.55,9380.22,,False,0,1783320002
4bb2b2,TKJ9SE  ,Turkey,1783318495,1783318496,29.2176,41.3727,5829.3,False,197.16,315.21,7.8,6050.28,,False,0,1783318496
4bb2b2,TKJ9SE  ,Turkey,1783318778,1783318799,28.6633,41.6689,7962.9,False,218.78,274.45,5.53,8153.4,5323,False,0,1783318799
4bb2b2,TKJ9SE  ,Turkey,1783319100,1783319101,27.9791,42.0601,9730.74,False,222.89,307.87,7.48,10066.02,1000,False,0,1783319101
4bb2b2,TKJ9SE  ,Turkey,1783319399,1783319400,27.3561,42.4176,10972.8,False,214.74,307.31,0.33,11308.08,1000,False,0,1783319400
4bb321,THY3235 ,Turkey,1783320001,1783320002,41.6586,41.1016,10972.8,False,201.56,251.7,0.0,11483.34,0606,False,0,1783320002
4bb4f4,MGH875  ,Turkey,1783318495,1783318495,28.211,42.1112,10363.2,False,222.04,322.63,0.33,10713.72,5350,False,0,1783318496
4bb4f4,MGH875  ,Turkey,1783318798,1783318799,27.7165,42.5887,10363.2,False,221.76,322.07,0.33,10698.48,5350,False,0,1783318799
4bb4f4,MGH875  ,Turkey,1783319100,1783319101,27.2188,43.0609,10363.2,False,217.25,321.83,0.0,10683.24,5350,False,0,1783319101
4bb562,CAI7E   ,Turkey,1783319399,1783319400,29.7995,40.119,11582.4,False,228.0,329.79,0.33,12062.46,2365,False,0,1783319400
4bb562,CAI7E   ,Turkey,1783319704,1783319704,29.3942,40.6501,11582.4,False,220.93,329.49,-0.33,12039.6,2365,False,0,1783319704
4bb562,CAI7E   ,Turkey,1783320001,1783320001,28.998,41.1587,11582.4,False,220.75,329.31,-0.33,12009.12,2365,False,0,1783320002
4bb563,CAI9442 ,Turkey,1783318474,1783318493,27.0326,44.4151,10363.2,False,217.47,325.41,0.33,10645.14,6337,False,0,1783318496
4bb563,CAI9442 ,Turkey,1783318474,1783318797,27.0326,44.4151,10363.2,False,217.47,325.41,0.33,10645.14,6337,False,0,1783318799
4bb563,CAI9442 ,Turkey,1783318474,1783319100,27.0326,44.4151,10363.2,False,217.47,325.41,0.33,10645.14,6337,False,0,1783319101
4bb563,CAI9442 ,Turkey,1783318474,1783319397,27.0326,44.4151,10363.2,False,217.47,325.41,0.33,10645.14,6337,False,0,1783319400
4bb565,CAI3GV  ,Turkey,1783318496,1783318496,29.0612,41.0728,10972.8,False,228.78,329.46,0.0,11384.28,3213,False,0,1783318496
4bb565,CAI3GV  ,Turkey,1783318638,1783318797,28.8655,41.3234,10972.8,False,226.48,329.42,0.0,11369.04,3213,False,0,1783318799
4bb565,CAI3GV  ,Turkey,1783318638,1783319100,28.8655,41.3234,10972.8,False,226.48,329.42,0.0,11369.04,3213,False,0,1783319101
4bb565,CAI3GV  ,Turkey,1783318638,1783319400,28.8655,41.3234,10972.8,False,226.48,329.42,0.0,11369.04,3213,False,0,1783319400
4bb565,CAI3GV  ,Turkey,1783318638,1783319704,28.8655,41.3234,10972.8,False,55.82,189.55,0.65,10012.68,3213,False,0,1783319704
4bb565,CAI3GV  ,Turkey,1783318638,1783320001,28.8655,41.3234,10972.8,False,55.94,335.56,0.0,10012.68,3213,False,0,1783320002
4bb844,PGT71PZ ,Turkey,1783318481,1783318491,31.6695,40.8441,10980.42,False,204.34,287.89,0.0,11399.52,,False,0,1783318496
4bb844,PGT71PZ ,Turkey,1783318798,1783318798,30.9324,41.0133,10165.08,False,209.18,285.4,-4.88,10553.7,,False,0,1783318799
4bb844,PGT71PZ ,Turkey,1783319100,1783319100,30.2155,41.2124,8602.98,False,212.65,291.72,-7.48,8938.26,,False,0,1783319101
4bb844,PGT71PZ ,Turkey,1783319399,1783319399,29.6136,41.0225,6179.82,False,199.41,226.46,-6.83,6454.14,,False,0,1783319400
4bb844,PGT71PZ ,Turkey,1783319702,1783319703,29.222,40.6113,3284.22,False,187.69,253.6,-5.85,3421.38,,False,0,1783319704
4bb844,PGT71PZ ,Turkey,1783320001,1783320001,28.9236,40.7139,1866.9,False,109.28,50.54,-5.85,1973.58,,False,0,1783320002
4bb852,PGT2323 ,Turkey,1783318495,1783318495,29.2538,40.3458,2750.82,False,146.38,337.04,-2.93,2872.74,,False,0,1783318496
4bb852,PGT2323 ,Turkey,1783318797,1783318798,29.0632,40.6847,1722.12,False,114.29,336.67,-6.18,1821.18,,False,0,1783318799
4bb852,PGT2323 ,Turkey,1783319098,1783319100,29.2123,40.8515,525.78,False,68.33,63.63,-2.6,594.36,,False,0,1783319101
4bb852,PGT2323 ,Turkey,1783319190,1783319198,29.2752,40.8747,213.36,False,66.73,64.42,-3.58,274.32,,False,0,1783319400
4bb854,PGT1575 ,Turkey,1783318495,1783318495,27.484,40.8741,11285.22,False,239.86,150.3,0.0,11696.7,4544,False,0,1783318496
4bb854,PGT1575 ,Turkey,1783318798,1783318798,27.9105,40.307,11277.6,False,239.48,149.97,-0.33,11727.18,4544,False,0,1783318799
4bb859,PGT29SB ,Turkey,1783320000,1783320001,29.3998,40.9297,1127.76,False,114.58,85.36,13.0,1203.96,,False,0,1783320002
4bb861,PGT92KE ,Turkey,1783318495,1783318495,28.6879,41.5313,11590.02,False,222.63,330.06,0.0,11978.64,3255,False,0,1783318496
